,time,temperature_2m,relative_humidity_2m,precipitation,surface_pressure
0,2022-01-01T00:00,17.8,98,0.9,905.7
1,2022-01-01T01:00,17.3,98,1.4,905.6
2,2022-01-01T02:00,17.2,98,2.1,905.7
3,2022-01-01T03:00,17.2,99,10.9,906.0
4,2022-01-01T04:00,17.4,97,3.8,907.3
5,2022-01-01T05:00,17.6,97,0.5,907.7
6,2022-01-01T06:00,17.6,97,1.2,907.9
7,2022-01-01T07:00,17.7,97,1.0,908.1
8,2022-01-01T08:00,18.3,96,0.5,908.2
9,2022-01-01T09:00,18.6,96,0.4,908.0
10,2022-01-01T10:00,19.1,96,0.4,907.5
11,2022-01-01T11:00,20.0,92,0.5,907.1
12,2022-01-01T12:00,20.8,90,0.9,907.0
13,2022-01-01T13:00,20.5,90,0.7,906.3
14,2022-01-01T14:00,21.5,85,0.8,906.3
15,2022-01-01T15:00,21.3,87,1.7,906.4
16,2022-01-01T16:00,19.8,91,2.3,905.9
17,2022-01-01T17:00,18.4,95,2.6,906.3
18,2022-01-01T18:00,18.2,97,3.1,907.3
19,2022-01-01T19:00,18.1,98,2.4,908.1
20,2022-01-01T20:00,18.1,97,1.2,908.8
21,2022-01-01T21:00,18.0,97,0.3,908.8
22,2022-01-01T22:00,17.8,98,0.1,908.1
23,2022-01-01T23:00,17.6,98,0.5,907.7
24,2022-01-02T00:00,17.5,98,0.0,907.5
25,2022-01-02T01:00,17.4,98,0.0,907.5
26,2022-01-02T02:00,17.4,98,0.0,907.7
27,2022-01-02T03:00,17.2,98,0.0,908.4
28,2022-01-02T04:00,17.5,97,0.0,909.5
29,2022-01-02T05:00,17.9,97,0.1,910.0
30,2022-01-02T06:00,18.0,96,0.4,910.4
31,2022-01-02T07:00,18.3,96,0.5,910.4
32,2022-01-02T08:00,18.3,96,0.2,910.4
33,2022-01-02T09:00,18.6,92,0.0,910.0
34,2022-01-02T10:00,18.7,92,0.1,909.4
35,2022-01-02T11:00,18.6,93,0.1,908.8
36,2022-01-02T12:00,18.3,95,0.1,908.0
37,2022-01-02T13:00,19.1,94,0.0,907.1
38,2022-01-02T14:00,21.0,85,0.0,906.9
39,2022-01-02T15:00,21.7,84,0.1,906.9
40,2022-01-02T16:00,21.3,89,0.0,907.0
41,2022-01-02T17:00,19.4,93,0.0,907.4
42,2022-01-02T18:00,18.7,94,0.0,907.8
43,2022-01-02T19:00,18.3,95,0.0,908.3
44,2022-01-02T20:00,17.9,95,0.0,908.7
45,2022-01-02T21:00,17.7,95,0.0,908.5
46,2022-01-02T22:00,17.5,96,0.0,908.0
47,2022-01-02T23:00,17.3,96,0.0,907.6
48,2022-01-03T00:00,17.1,97,0.5,907.3
49,2022-01-03T01:00,17.2,97,1.1,907.5
50,2022-01-03T02:00,17.1,97,1.0,907.8
51,2022-01-03T03:00,17.8,97,0.0,908.6
52,2022-01-03T04:00,18.1,97,0.0,909.4
53,2022-01-03T05:00,18.6,97,0.6,909.9
54,2022-01-03T06:00,19.4,95,0.1,910.2
55,2022-01-03T07:00,20.2,92,0.3,910.0
56,2022-01-03T08:00,20.8,90,0.3,909.7
57,2022-01-03T09:00,20.9,90,0.3,908.8
58,2022-01-03T10:00,22.0,89,1.0,908.3
